geneEnsembl	Toulouse	Gene_name
ENSG00000000419	DPM1	DPM1
ENSG00000001036	FUCA2	FUCA2
ENSG00000001084	GCLC	GCLC
ENSG00000001630	CYP51A1	CYP51A1
ENSG00000002549	LAP3	LAP3
ENSG00000002587	HS3ST1	HS3ST1
ENSG00000002726	AOC1	AOC1
ENSG00000002746	HECW1	HECW1
ENSG00000003137	CYP26B1	CYP26B1
ENSG00000003987	MTMR7	MTMR7
ENSG00000003989	SLC7A2	SLC7A2
ENSG00000004455	AK2	AK2
ENSG00000004468	CD38	CD38
ENSG00000004478	FKBP4	FKBP4
ENSG00000004779	NDUFAB1	NDUFAB1
ENSG00000004799	PDK4	PDK4
ENSG00000004809	SLC22A16	SLC22A16
ENSG00000004864	SLC25A13	SLC25A13
ENSG00000004939	SLC4A1	SLC4A1
ENSG00000004961	HCCS	HCCS
ENSG00000005022	SLC25A5	SLC25A5
ENSG00000005075	POLR2J	POLR2J
ENSG00000005187	ACSM3	ACSM3
ENSG00000005339	CREBBP	CREBBP
ENSG00000005381	MPO	MPO
ENSG00000005421	PON1	PON1
ENSG00000005469	CROT	CROT
ENSG00000005471	ABCB4	ABCB4
ENSG00000005810	MYCBP2	MYCBP2
ENSG00000005882	PDK2	PDK2
ENSG00000006007	GDE1	GDE1
ENSG00000006071	ABCC8	ABCC8
ENSG00000006530	AGK	AGK
ENSG00000006534	ALDH3B1	ALDH3B1
ENSG00000006625	GGCT	GGCT
ENSG00000006695	COX10	COX10
ENSG00000006756	ARSD	ARSD
ENSG00000006757	PNPLA4	PNPLA4
ENSG00000007001	UPP2	UPP2
ENSG00000007168	PAFAH1B1	PAFAH1B1
ENSG00000007171	NOS2	NOS2
ENSG00000007216	SLC13A2	SLC13A2
ENSG00000007350	TKTL1	TKTL1
ENSG00000007541	PIGQ	PIGQ
ENSG00000007933	FMO3	FMO3
ENSG00000007944	MYLIP	MYLIP
ENSG00000008130	NADK	NADK
ENSG00000008311	AASS	AASS
ENSG00000008394	MGST1	MGST1
ENSG00000008438	PGLYRP1	PGLYRP1
ENSG00000008513	ST3GAL1	ST3GAL1
ENSG00000009335	UBE3C	UBE3C
ENSG00000009413	REV3L	REV3L
ENSG00000009830	POMT2	POMT2
ENSG00000010256	UQCRC1	UQCRC1
ENSG00000010379	SLC6A13	SLC6A13
ENSG00000010404	IDS	IDS
ENSG00000010932	FMO1	FMO1
ENSG00000011009	LYPLA2	LYPLA2
ENSG00000011052	NME1-NME2	NME1-NME2
ENSG00000011083	SLC6A7	SLC6A7
ENSG00000011198	ABHD5	ABHD5
ENSG00000011275	RNF216	RNF216
ENSG00000011405	PIK3C2A	PIK3C2A
ENSG00000012232	EXTL3	EXTL3
ENSG00000012660	ELOVL5	ELOVL5
ENSG00000012779	ALOX5	ALOX5
ENSG00000012963	UBR7	UBR7
ENSG00000013288	MAN2B2	MAN2B2
ENSG00000013375	PGM3	PGM3
ENSG00000013392	RWDD2A	RWDD2A
ENSG00000013503	POLR3B	POLR3B
ENSG00000013561	RNF14	RNF14
ENSG00000014138	POLA2	POLA2
ENSG00000014257	ACP3	ACP3
ENSG00000014641	MDH1	MDH1
ENSG00000015413	DPEP1	DPEP1
ENSG00000015520	NPC1L1	NPC1L1
ENSG00000015532	XYLT2	XYLT2
ENSG00000016391	CHDH	CHDH
ENSG00000016864	GLT8D1	GLT8D1
ENSG00000017260	ATP2C1	ATP2C1
ENSG00000017483	SLC38A5	SLC38A5
ENSG00000017797	RALBP1	RALBP1
ENSG00000018280	SLC11A1	SLC11A1
ENSG00000018510	AGPS	AGPS
ENSG00000018625	ATP1A2	ATP1A2
ENSG00000019186	CYP24A1	CYP24A1
ENSG00000021461	CYP3A43	CYP3A43
ENSG00000021488	SLC7A9	SLC7A9
ENSG00000021826	CPS1	CPS1
ENSG00000023041	ZDHHC6	ZDHHC6
ENSG00000023228	NDUFS1	NDUFS1
ENSG00000023330	ALAS1	ALAS1
ENSG00000023572	GLRX2	GLRX2
ENSG00000023697	DERA	DERA
ENSG00000023839	ABCC2	ABCC2
ENSG00000023909	GCLM	GCLM
ENSG00000024048	UBR2	UBR2
ENSG00000025423	HSD17B6	HSD17B6
ENSG00000025708	TYMP	TYMP
ENSG00000025800	KPNA6	KPNA6
ENSG00000026652	AGPAT4	AGPAT4
ENSG00000027847	B4GALT7	B4GALT7
ENSG00000030066	NUP160	NUP160
ENSG00000031698	SARS1	SARS1
ENSG00000032444	PNPLA6	PNPLA6
ENSG00000033011	ALG1	ALG1
ENSG00000033100	CHPF2	CHPF2
ENSG00000033170	FUT8	FUT8
ENSG00000033178	UBA6	UBA6
ENSG00000033627	ATP6V0A1	ATP6V0A1
ENSG00000033867	SLC4A7	SLC4A7
ENSG00000034677	RNF19A	RNF19A
ENSG00000035687	ADSS2	ADSS2
ENSG00000036473	OTC	OTC
ENSG00000036530	CYP46A1	CYP46A1
ENSG00000036565	SLC18A1	SLC18A1
ENSG00000036672	USP2	USP2
ENSG00000037757	MRI1	MRI1
ENSG00000037897	METTL1	METTL1
ENSG00000038002	AGA	AGA
ENSG00000038210	PI4K2B	PI4K2B
ENSG00000038274	MAT2B	MAT2B
ENSG00000039123	MTREX	MTREX
ENSG00000039650	PNKP	PNKP
ENSG00000040933	INPP4A	INPP4A
ENSG00000041880	PARP3	PARP3
ENSG00000043514	TRIT1	TRIT1
ENSG00000044446	PHKA2	PHKA2
ENSG00000047230	CTPS2	CTPS2
ENSG00000047249	ATP6V1H	ATP6V1H
ENSG00000047315	POLR2B	POLR2B
ENSG00000047410	TPR	TPR
ENSG00000047457	CP	CP
ENSG00000048028	USP28	USP28
ENSG00000048392	RRM2B	RRM2B
ENSG00000049239	H6PD	H6PD
ENSG00000049759	NEDD4L	NEDD4L
ENSG00000049860	HEXB	HEXB
ENSG00000050438	SLC4A8	SLC4A8
ENSG00000051341	POLQ	POLQ
ENSG00000051382	PIK3CB	PIK3CB
ENSG00000052802	MSMO1	MSMO1
ENSG00000053371	AKR7A2	AKR7A2
ENSG00000054148	PHPT1	PHPT1
ENSG00000054179	ENTPD2	ENTPD2
ENSG00000054267	ARID4B	ARID4B
ENSG00000054392	HHAT	HHAT
ENSG00000054983	GALC	GALC
ENSG00000055483	USP36	USP36
ENSG00000055609	KMT2C	KMT2C
ENSG00000056998	GYG2	GYG2
ENSG00000057252	SOAT1	SOAT1
ENSG00000058056	USP13	USP13
ENSG00000058600	POLR3E	POLR3E
ENSG00000058668	ATP2B4	ATP2B4
ENSG00000058804	NDC1	NDC1
ENSG00000058866	DGKG	DGKG
ENSG00000059377	TBXAS1	TBXAS1
ENSG00000059378	PARP12	PARP12
ENSG00000059573	ALDH18A1	ALDH18A1
ENSG00000059804	SLC2A3	SLC2A3
ENSG00000060642	PIGV	PIGV
ENSG00000060762	MPC1	MPC1
ENSG00000060971	ACAA1	ACAA1
ENSG00000060982	BCAT1	BCAT1
ENSG00000061918	GUCY1B1	GUCY1B1
ENSG00000062282	DGAT2	DGAT2
ENSG00000062485	CS	CS
ENSG00000062822	POLD1	POLD1
ENSG00000063176	SPHK2	SPHK2
ENSG00000063601	MTMR1	MTMR1
ENSG00000063854	HAGH	HAGH
ENSG00000064225	ST3GAL6	ST3GAL6
ENSG00000064270	ATP2C2	ATP2C2
ENSG00000064601	CTSA	CTSA
ENSG00000064651	SLC12A2	SLC12A2
ENSG00000064763	FAR2	FAR2
ENSG00000065154	OAT	OAT
ENSG00000065357	DGKA	DGKA
ENSG00000065427	KARS1	KARS1
ENSG00000065485	PDIA5	PDIA5
ENSG00000065518	NDUFB4	NDUFB4
ENSG00000065534	MYLK	MYLK
ENSG00000065615	CYB5R4	CYB5R4
ENSG00000065621	GSTO2	GSTO2
ENSG00000065833	ME1	ME1
ENSG00000065911	MTHFD2	MTHFD2
ENSG00000065923	SLC9A7	SLC9A7
ENSG00000065989	PDE4A	PDE4A
ENSG00000066230	SLC9A3	SLC9A3
ENSG00000066322	ELOVL1	ELOVL1
ENSG00000066379	POLR1H	POLR1H
ENSG00000066651	TRMT11	TRMT11
ENSG00000066813	ACSM2B	ACSM2B
ENSG00000066926	FECH	FECH
ENSG00000067057	PFKP	PFKP
ENSG00000067064	IDI1	IDI1
ENSG00000067113	PLPP1	PLPP1
ENSG00000067177	PHKA1	PHKA1
ENSG00000067225	PKM	PKM
ENSG00000067829	IDH3G	IDH3G
ENSG00000067840	PDZD4	PDZD4
ENSG00000067842	ATP2B3	ATP2B3
ENSG00000067992	PDK3	PDK3
ENSG00000068001	HYAL2	HYAL2
ENSG00000068120	COASY	COASY
ENSG00000068308	OTUD5	OTUD5
ENSG00000068366	ACSL4	ACSL4
ENSG00000068383	INPP5A	INPP5A
ENSG00000068650	ATP11A	ATP11A
ENSG00000068654	POLR1A	POLR1A
ENSG00000068745	IP6K2	IP6K2
ENSG00000068903	SIRT2	SIRT2
ENSG00000068976	PYGM	PYGM
ENSG00000069248	NUP133	NUP133
ENSG00000069431	ABCC9	ABCC9
ENSG00000069535	MAOB	MAOB
ENSG00000069667	RORA	RORA
ENSG00000069764	PLA2G10	PLA2G10
ENSG00000069849	ATP1B3	ATP1B3
ENSG00000069869	NEDD4	NEDD4
ENSG00000069943	PIGB	PIGB
ENSG00000070019	GUCY2C	GUCY2C
ENSG00000070214	SLC44A1	SLC44A1
ENSG00000070423	RNF126	RNF126
ENSG00000070501	POLB	POLB
ENSG00000070526	ST6GALNAC1	ST6GALNAC1
ENSG00000070610	GBA2	GBA2
ENSG00000070614	NDST1	NDST1
ENSG00000070669	ASNS	ASNS
ENSG00000070731	ST6GALNAC2	ST6GALNAC2
ENSG00000070748	CHAT	CHAT
ENSG00000070915	SLC12A3	SLC12A3
ENSG00000070950	RAD18	RAD18
ENSG00000070961	ATP2B1	ATP2B1
ENSG00000071073	MGAT4A	MGAT4A
ENSG00000071553	ATP6AP1	ATP6AP1
ENSG00000071794	HLTF	HLTF
ENSG00000071967	CYBRD1	CYBRD1
ENSG00000072041	SLC6A15	SLC6A15
ENSG00000072042	RDH11	RDH11
ENSG00000072062	PRKACA	PRKACA
ENSG00000072210	ALDH3A2	ALDH3A2
ENSG00000072274	TFRC	TFRC
ENSG00000072310	SREBF1	SREBF1
ENSG00000072401	UBE2D1	UBE2D1
ENSG00000072506	HSD17B10	HSD17B10
ENSG00000072609	CHFR	CHFR
ENSG00000072657	TRHDE	TRHDE
ENSG00000072682	P4HA2	P4HA2
ENSG00000072756	TRNT1	TRNT1
ENSG00000072778	ACADVL	ACADVL
ENSG00000073060	SCARB1	SCARB1
ENSG00000073417	PDE8A	PDE8A
ENSG00000073578	SDHA	SDHA
ENSG00000073734	ABCB11	ABCB11
ENSG00000073737	DHRS9	DHRS9
ENSG00000073756	PTGS2	PTGS2
ENSG00000073849	ST6GAL1	ST6GAL1
ENSG00000074370	ATP2A3	ATP2A3
ENSG00000074410	CA12	CA12
ENSG00000074416	MGLL	MGLL
ENSG00000074621	SLC24A1	SLC24A1
ENSG00000074696	HACD3	HACD3
ENSG00000074800	ENO1	ENO1
ENSG00000074803	SLC12A1	SLC12A1
ENSG00000075188	NUP37	NUP37
ENSG00000075239	ACAT1	ACAT1
ENSG00000075415	SLC25A3	SLC25A3
ENSG00000075651	PLD1	PLD1
ENSG00000075673	ATP12A	ATP12A
ENSG00000075975	MKRN2	MKRN2
ENSG00000076258	FMO4	FMO4
ENSG00000076351	SLC46A1	SLC46A1
ENSG00000076555	ACACB	ACACB
ENSG00000076685	NT5C2	NT5C2
ENSG00000077009	NMRK2	NMRK2
ENSG00000077044	DGKD	DGKD
ENSG00000077152	UBE2T	UBE2T
ENSG00000077254	USP33	USP33
ENSG00000077463	SIRT6	SIRT6
ENSG00000077498	TYR	TYR
ENSG00000077514	POLD3	POLD3
ENSG00000077721	UBE2A	UBE2A
ENSG00000077800	FKBP6	FKBP6
ENSG00000078070	MCCC1	MCCC1
ENSG00000078124	ACER3	ACER3
ENSG00000078140	UBE2K	UBE2K
ENSG00000078142	PIK3C3	PIK3C3
ENSG00000078237	TIGAR	TIGAR
ENSG00000078269	SYNJ2	SYNJ2
ENSG00000078295	ADCY2	ADCY2
ENSG00000078747	ITCH	ITCH
ENSG00000078967	UBE2D4	UBE2D4
ENSG00000079150	FKBP7	FKBP7
ENSG00000079215	SLC1A3	SLC1A3
ENSG00000079435	LIPE	LIPE
ENSG00000079459	FDFT1	FDFT1
ENSG00000079462	PAFAH1B3	PAFAH1B3
ENSG00000079739	PGM1	PGM1
ENSG00000079805	DNM2	DNM2
ENSG00000080166	DCT	DCT
ENSG00000080493	SLC4A4	SLC4A4
ENSG00000080511	RDH8	RDH8
ENSG00000080802	CNOT4	CNOT4
ENSG00000080819	CPOX	CPOX
ENSG00000081181	ARG2	ARG2
ENSG00000081479	LRP2	LRP2
ENSG00000081760	AACS	AACS
ENSG00000081800	SLC13A1	SLC13A1
ENSG00000081923	ATP8B1	ATP8B1
ENSG00000082212	ME2	ME2
ENSG00000082996	RNF13	RNF13
ENSG00000083123	BCKDHB	BCKDHB
ENSG00000083168	KAT6A	KAT6A
ENSG00000083223	TUT7	TUT7
ENSG00000083444	PLOD1	PLOD1
ENSG00000083720	OXCT1	OXCT1
ENSG00000083799	CYLD	CYLD
ENSG00000083807	SLC27A5	SLC27A5
ENSG00000084072	PPIE	PPIE
ENSG00000084073	ZMPSTE24	ZMPSTE24
ENSG00000084090	STARD7	STARD7
ENSG00000084110	HAL	HAL
ENSG00000084207	GSTP1	GSTP1
ENSG00000084453	SLCO1A2	SLCO1A2
ENSG00000084674	APOB	APOB
ENSG00000084676	NCOA1	NCOA1
ENSG00000084754	HADHA	HADHA
ENSG00000084774	CAD	CAD
ENSG00000085231	AK6	AK6
ENSG00000085377	PREP	PREP
ENSG00000085382	HACE1	HACE1
ENSG00000085415	SEH1L	SEH1L
ENSG00000085563	ABCB1	ABCB1
ENSG00000085662	AKR1B1	AKR1B1
ENSG00000085871	MGST2	MGST2
ENSG00000085982	USP40	USP40
ENSG00000085998	POMGNT1	POMGNT1
ENSG00000086062	B4GALT1	B4GALT1
ENSG00000086159	AQP6	AQP6
ENSG00000086475	SEPHS1	SEPHS1
ENSG00000086544	ITPKC	ITPKC
ENSG00000086696	HSD17B2	HSD17B2
ENSG00000086758	HUWE1	HUWE1
ENSG00000086848	ALG9	ALG9
ENSG00000087008	ACOX3	ACOX3
ENSG00000087053	MTMR2	MTMR2
ENSG00000087076	HSD17B14	HSD17B14
ENSG00000087085	ACHE	ACHE
ENSG00000087111	PIGS	PIGS
ENSG00000087157	PGS1	PGS1
ENSG00000087253	LPCAT2	LPCAT2
ENSG00000087299	L2HGDH	L2HGDH
ENSG00000087470	DNM1L	DNM1L
ENSG00000088002	SULT2B1	SULT2B1
ENSG00000088035	ALG6	ALG6
ENSG00000088305	DNMT3B	DNMT3B
ENSG00000088386	SLC15A1	SLC15A1
ENSG00000088451	TGDS	TGDS
ENSG00000088766	CRLS1	CRLS1
ENSG00000088826	SMOX	SMOX
ENSG00000088832	FKBP1A	FKBP1A
ENSG00000089057	SLC23A2	SLC23A2
ENSG00000089060	SLC8B1	SLC8B1
ENSG00000089234	BRAP	BRAP
ENSG00000089250	NOS1	NOS1
ENSG00000089472	HEPH	HEPH
ENSG00000089597	GANAB	GANAB
ENSG00000090013	BLVRB	BLVRB
ENSG00000090020	SLC9A1	SLC9A1
ENSG00000090054	SPTLC1	SPTLC1
ENSG00000090060	PAPOLA	PAPOLA
ENSG00000090266	NDUFB2	NDUFB2
ENSG00000090402	SI	SI
ENSG00000090432	MUL1	MUL1
ENSG00000090661	CERS4	CERS4
ENSG00000090686	USP48	USP48
ENSG00000090857	PDPR	PDPR
ENSG00000090861	AARS1	AARS1
ENSG00000090971	NAT14	NAT14
ENSG00000091137	SLC26A4	SLC26A4
ENSG00000091138	SLC26A3	SLC26A3
ENSG00000091140	DLD	DLD
ENSG00000091483	FH	FH
ENSG00000091664	SLC17A6	SLC17A6
ENSG00000091704	CPA1	CPA1
ENSG00000092009	CMA1	CMA1
ENSG00000092068	SLC7A8	SLC7A8
ENSG00000092098	RNF31	RNF31
ENSG00000092148	HECTD1	HECTD1
ENSG00000092295	TGM1	TGM1
ENSG00000092529	CAPN3	CAPN3
ENSG00000092621	PHGDH	PHGDH
ENSG00000092964	DPYSL2	DPYSL2
ENSG00000093000	NUP50	NUP50
ENSG00000093010	COMT	COMT
ENSG00000093072	ADA2	ADA2
ENSG00000093217	XYLB	XYLB
ENSG00000094841	UPRT	UPRT
ENSG00000094914	AAAS	AAAS
ENSG00000094963	FMO2	FMO2
ENSG00000095059	DHPS	DHPS
ENSG00000095139	ARCN1	ARCN1
ENSG00000095303	PTGS1	PTGS1
ENSG00000095319	NUP188	NUP188
ENSG00000095321	CRAT	CRAT
ENSG00000095380	NANS	NANS
ENSG00000095464	PDE6C	PDE6C
ENSG00000095596	CYP26A1	CYP26A1
ENSG00000095917	TPSD1	TPSD1
ENSG00000096006	CRISP3	CRISP3
ENSG00000096060	FKBP5	FKBP5
ENSG00000096717	SIRT1	SIRT1
ENSG00000097021	ACOT7	ACOT7
ENSG00000097033	SH3GLB1	SH3GLB1
ENSG00000099194	SCD	SCD
ENSG00000099377	HSD3B7	HSD3B7
ENSG00000099381	SETD1A	SETD1A
ENSG00000099624	ATP5F1D	ATP5F1D
ENSG00000099785	MARCHF2	MARCHF2
ENSG00000099795	NDUFB7	NDUFB7
ENSG00000099797	TECR	TECR
ENSG00000099804	CDC34	CDC34
ENSG00000099810	MTAP	MTAP
ENSG00000099817	POLR2E	POLR2E
ENSG00000099821	POLRMT	POLRMT
ENSG00000099904	ZDHHC8	ZDHHC8
ENSG00000099984	GSTT2	GSTT2
ENSG00000099998	GGT5	GGT5
ENSG00000100023	PPIL2	PPIL2
ENSG00000100024	UPB1	UPB1
